frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
0,0.0,244,0.0,0.0,False
1,0.1,244,0.0,0.0,False
2,0.111411,244,0.0,0.0,False
3,0.211411,244,0.0,0.0,False
4,0.311411,244,0.0,0.0,False
5,0.411411,244,0.0,0.0,False
6,0.489389,244,0.0,0.0,False
7,0.589389,244,0.0,0.0,False
8,0.606111,244,0.0,0.0,False
9,0.706111,244,0.0,0.0,False
10,0.806111,244,0.0,0.0,False
11,0.906111,244,0.0,0.0,False
12,1.006111,244,0.0,0.0,False
13,1.106111,244,0.0,0.0,False
14,1.206111,244,0.0,0.0,False
15,1.306111,244,0.0,0.0,False
16,1.406111,244,0.0,0.0,False
17,1.506111,244,0.0,0.0,False
18,1.606111,244,0.0,0.0,False
19,2.089578,244,0.0,0.0,False
20,2.189578,244,0.0,0.0,False
21,2.205178,244,0.0,0.0,False
22,2.254522,226,0.0,0.0,False
23,2.271156,216,0.0,0.0,False
24,2.2881,216,0.0,0.0,False
25,2.304322,205,0.0,0.0,False
26,2.320911,205,0.0,0.0,False
27,2.341578,193,0.0,0.0,False
28,2.354433,185,0.0,0.0,False
29,2.371422,172,0.0,0.0,False
30,2.387456,160,0.0,0.0,False
31,2.4036,150,0.0,0.0,False
32,2.420533,140,0.0,0.0,False
33,2.437122,130,0.0,0.0,False
34,2.453822,118,0.0,0.0,False
35,2.470533,108,0.0,0.0,False
36,2.486967,94,0.0,0.0,False
37,2.503256,84,0.0,0.0,False
38,2.5202,70,0.0,0.0,False
39,2.536956,60,0.0,0.0,False
40,2.553811,48,0.0,0.0,False
41,2.570411,40,0.0,0.0,False
42,2.587033,28,0.0,0.0,False
43,2.603633,16,0.0,0.0,False
44,2.620233,6,0.0,0.0,False
45,2.636889,0,0.0,0.0,False
46,2.653811,288,0.0,0.0,False
47,2.670156,278,0.0,0.0,False
48,2.686833,266,0.0,0.0,False
49,2.703878,256,0.0,0.0,False
50,2.720644,244,0.0,0.0,False
51,2.736944,234,0.0,0.0,False
52,2.754478,222,0.0,0.0,False
53,2.771556,212,0.0,0.0,False
54,2.7873,200,0.0,0.0,False
55,2.803556,190,0.0,0.0,False
56,2.820256,178,0.0,0.0,False
57,2.836922,168,0.0,0.0,False
58,2.853444,154,0.0,0.0,False
59,2.870144,146,0.0,0.0,False
60,2.886956,134,0.0,0.0,False
61,2.903633,124,0.0,0.0,False
62,2.920233,114,0.0,0.0,False
63,2.936822,102,0.0,0.0,False
64,2.953644,88,0.0,0.0,False
65,2.970467,80,0.0,0.0,False
66,2.986922,68,0.0,0.0,False
67,3.003478,56,0.0,0.0,False
68,3.019933,46,0.0,0.0,False
69,3.036756,36,0.0,0.0,False
70,3.053511,24,0.0,0.0,False
71,3.070444,14,0.0,0.0,False
72,3.086856,2,0.0,0.0,False
73,3.103522,298,0.0,0.0,False
74,3.120467,286,0.0,0.0,False
75,3.136956,274,0.0,0.0,False
76,3.153344,264,0.0,0.0,False
77,3.170689,254,0.0,0.0,False
78,3.187711,242,0.0,0.0,False
79,3.204889,232,0.0,0.0,False
80,3.221711,220,0.0,0.0,False
81,3.238722,210,0.0,0.0,False
82,3.255256,198,0.0,0.0,False
83,3.2737,184,0.0,0.0,False
84,3.287844,176,0.0,0.0,False
85,3.303967,164,0.0,0.0,False
86,3.320756,154,0.0,0.0,False
87,3.337711,142,0.0,0.0,False
88,3.355122,134,0.0,0.0,False
89,3.371333,122,0.0,0.0,False
90,3.387489,108,0.0,0.0,False
91,3.404044,98,0.0,0.0,False
92,3.420811,88,0.0,0.0,False
93,3.437678,76,0.0,0.0,False
94,3.454456,64,0.0,0.0,False
95,3.470867,54,0.0,0.0,False
96,3.4879,44,0.0,0.0,False
97,3.503956,32,0.0,0.0,False
98,3.520711,22,0.0,0.0,False
99,3.537711,10,0.0,0.0,False
100,3.554,0,0.0,0.0,False
101,3.570911,294,0.0,0.0,False
102,3.587467,282,0.0,0.0,False
103,3.604156,272,0.0,0.0,False
104,3.620756,260,0.0,0.0,False
105,3.637467,250,0.0,0.0,False
106,3.654289,238,0.0,0.0,False
107,3.670944,228,0.0,0.0,False
108,3.688567,218,0.0,0.0,False
109,3.704056,206,0.0,0.0,False
110,3.7217,194,0.0,0.0,False
111,3.7381,184,0.0,0.0,False
112,3.754378,174,0.0,0.0,False
113,3.770667,162,0.0,0.0,False
114,3.787556,162,0.0,0.0,False
115,3.804967,146,0.0,0.0,False
116,3.821411,128,0.0,0.0,False
117,3.838633,118,0.0,0.0,False
118,3.855267,106,0.0,0.0,False
119,3.872011,94,0.0,0.0,False
120,3.888633,84,0.0,0.0,False
121,3.905289,72,0.0,0.0,False
122,3.923144,62,0.0,0.0,False
123,3.939089,50,0.0,0.0,False
124,3.955667,40,0.0,0.0,False
125,3.973011,30,0.0,0.0,False
126,3.9886,18,0.0,0.0,False
127,4.005133,6,0.0,0.0,False
128,4.022511,0,0.0,0.0,False
129,4.038589,290,0.0,0.0,False
130,4.056244,280,0.0,0.0,False
131,4.073278,268,0.0,0.0,False
132,4.088822,258,0.0,0.0,False
133,4.105433,246,0.0,0.0,False
134,4.122744,234,0.0,0.0,False
135,4.139789,224,0.0,0.0,False
136,4.155656,214,0.0,0.0,False
137,4.171989,202,0.0,0.0,False
138,4.188656,190,0.0,0.0,False
139,4.205511,180,0.0,0.0,False
140,4.222044,170,0.0,0.0,False
141,4.238567,158,0.0,0.0,False
142,4.255344,148,0.0,0.0,False
143,4.272278,136,0.0,0.0,False
144,4.289189,124,0.0,0.0,False
145,4.3063,114,0.0,0.0,False
146,4.321878,102,0.0,0.0,False
147,4.341644,92,0.0,0.0,False
148,4.355478,92,0.0,0.0,False
149,4.3717,92,0.0,0.0,False
150,4.391956,92,0.0,0.0,False
151,4.491956,92,0.0,0.0,False
152,4.506867,92,0.0,0.0,False
153,4.606867,92,0.0,0.0,False
154,4.706867,92,0.0,0.0,False
155,4.806867,92,0.0,0.0,False
156,4.906867,92,0.0,0.0,False
157,5.006867,92,0.0,0.0,False
158,5.106867,92,0.0,0.0,False
159,5.1802,80,0.0,0.0,False
160,5.191156,80,0.0,0.0,False
161,5.2049,80,0.0,0.0,False
162,5.221322,68,0.0,0.0,False
163,5.237933,58,0.0,0.0,False
164,5.255744,58,0.0,0.0,False
165,5.271744,46,0.0,0.0,False
166,5.287989,34,0.0,0.0,False
167,5.305578,26,0.0,0.0,False
168,5.321733,14,0.0,0.0,False
169,5.339067,2,0.0,0.0,False
170,5.355133,298,0.0,0.0,False
171,5.3716,286,0.0,0.0,False
172,5.389244,276,0.0,0.0,False
173,5.404944,266,0.0,0.0,False
174,5.421822,252,0.0,0.0,False
