frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
128,4.215422,146,0.0,6.69949418818927e-05,False
129,4.232122,134,0.0,5.0246206411364014e-05,False
130,4.248522,124,0.0,4.187183867621069e-05,False
131,4.265344,69,0.4781990521327014,0.7993574184167634,True
132,4.282067,100,0.0,0.00011058935619978616,False
133,4.298956,88,0.0,0.00011200716845882752,False
134,4.315156,78,0.0,7.838082630806653e-05,False
135,4.331822,66,0.48400954653937944,0.8692751347027129,True
136,4.348756,56,0.0,5.352554952897659e-05,False
137,4.365322,44,0.0,5.424562418632206e-05,False
138,4.3823,32,0.0,4.582111436945979e-05,False
139,4.398689,20,0.47984848484848486,0.8528256776175611,True
140,4.4152,10,0.0,0.0,False
141,4.431822,296,0.0,0.0,False
142,4.449256,296,0.0,0.0,False
143,4.4659,296,0.6428282828282827,0.9258324362448495,True
144,4.5659,296,0.6437373737373737,0.9256375515052526,True
145,4.583256,296,0.6438383838383839,0.9290867020552607,True
146,4.683256,296,0.6438383838383839,0.9277936572750782,True
147,4.783256,296,0.6438383838383839,0.9266429092888873,True
148,4.786122,286,0.0,3.669859444388468e-05,False
149,4.798878,286,0.0,3.669859444388468e-05,False
150,4.815556,275,0.0,3.624501631027677e-05,False
151,4.832289,274,0.7168181818181818,0.9847127185836864,True
152,4.850422,275,0.00030303030303024947,0.0006493898755587368,False
153,4.865956,264,0.0,0.00028791187808052676,False
154,4.882567,264,0.0,0.00028791187808052676,False
155,4.899422,252,0.6422493887530563,0.9509003756963337,True
156,4.915856,242,0.0,9.319773063520831e-05,False
157,4.932967,230,0.0,9.200161002820284e-05,False
158,4.949322,218,0.0,9.083580293167692e-05,False
159,4.970711,208,0.4303752759381898,0.8581645150054493,True
160,4.983,198,0.0,3.349747094094635e-05,False
161,4.999467,186,0.0,3.349747094094635e-05,False
162,5.016367,174,0.0,3.349747094094635e-05,False
163,5.032744,121,0.45687763713080165,0.8010808517290278,True
164,5.049889,156,0.0002424242424242662,3.349747094094635e-05,False
165,5.066256,142,0.0,3.349747094094635e-05,False
166,5.083044,132,0.0,3.349747094094635e-05,False
167,5.0997,75,0.45429906542056075,0.7870854157201272,True
168,5.116022,111,0.0,0.001683261013376347,False
169,5.133033,97,0.0,0.001728110599078292,False
170,5.149478,86,0.0,0.0017484630793672684,False
171,5.166567,25,0.525050505050505,0.7895943415979998,True
172,5.182744,62,0.0,0.011940210327307077,False
173,5.199489,52,0.0,0.012072879330943809,False
174,5.216067,40,0.0,0.00032088540153052403,False
175,5.232922,29,0.48444444444444446,0.8863320091710499,True
176,5.249567,20,0.0,0.0009198008027352378,False
177,5.266356,8,0.0,0.0006991727747392984,False
178,5.282811,0,0.0,0.0006991727747392984,False
179,5.299744,290,0.462020202020202,0.8481689708141321,True
180,5.316356,280,0.0,0.029446874430472003,False
181,5.332778,270,0.0,0.00075689313389804,False
182,5.349967,258,0.0,0.0007468791122807739,False
183,5.366644,246,0.44568674698795185,0.8422198041349293,True
184,5.383156,236,0.0,0.0008984686968297462,False
185,5.399444,226,0.0,0.0008889003401010287,False
186,5.416678,214,0.0,0.0008776839320240315,False
187,5.4332,202,0.4684749455337691,0.8701973001038421,True
188,5.449644,192,0.0,0.000859768420817586,False
189,5.466333,182,0.0,0.000859768420817586,False
190,5.482989,172,0.0,0.0008458111412588121,False
191,5.499744,115,0.5083333333333333,0.8129529137216807,True
192,5.516311,148,0.0,0.0010384215991692258,False
193,5.533389,136,0.0,0.0009435120981698963,False
