frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
166,4.603511,232,0.0,0.0,False
167,4.620344,222,0.0,0.0,False
168,4.637167,210,0.0,0.0,False
169,4.652611,200,0.0,0.0,False
170,4.669433,188,0.0,0.0,False
171,4.686289,178,0.0,0.0,False
172,4.702633,168,0.0,0.0,False
173,4.719489,156,0.0,0.0,False
174,4.736589,144,0.0,0.0,False
175,4.7526,132,0.0,0.0,False
176,4.769156,122,0.0,0.0,False
177,4.7858,110,0.0,0.0,False
178,4.802722,100,0.0,0.0,False
179,4.819322,88,0.0,0.0,False
180,4.836489,78,0.0,0.0,False
181,4.853189,67,0.0,0.0,False
182,4.869644,56,0.0,0.0,False
183,4.886156,46,0.0,0.0,False
184,4.9032,36,0.0,0.0,False
185,4.918856,24,0.0,0.0,False
186,4.935767,12,0.0,0.0,False
187,4.952389,0,0.0,0.0,False
188,4.969289,294,0.0,0.0,False
189,4.985922,284,0.0,0.0,False
190,5.002478,272,0.0,0.0,False
191,5.019144,262,0.0,0.0,False
192,5.035722,250,0.0,0.0,False
193,5.052489,238,0.0,0.0,False
194,5.069522,228,0.0,0.0,False
195,5.0861,216,0.0,0.0,False
196,5.103133,206,0.0,0.0,False
197,5.118822,194,0.0,0.0,False
198,5.136067,184,0.0,0.0,False
199,5.152756,172,0.0,0.0,False
200,5.168989,162,0.0,0.0,False
201,5.185811,162,0.0,0.0,False
202,5.202544,150,0.0,0.0,False
203,5.219344,128,0.0,0.0,False
204,5.236044,116,0.0,0.0,False
205,5.252911,106,0.0,0.0,False
206,5.269178,94,0.0,0.0,False
207,5.286233,84,0.0,0.0,False
208,5.302733,74,0.0,0.0,False
209,5.3193,62,0.0,0.0,False
210,5.3356,52,0.0,0.0,False
211,5.352356,42,0.0,0.0,False
212,5.369122,28,0.0,0.0,False
213,5.385722,18,0.0,0.0,False
214,5.402767,6,0.0,0.0,False
215,5.419778,0,0.0,0.0,False
216,5.436089,290,0.0,0.0,False
217,5.452856,278,0.0,0.0,False
218,5.469511,266,0.0,0.0,False
219,5.486022,256,0.0,0.0,False
220,5.502433,246,0.0,0.0,False
221,5.519067,234,0.0,0.0,False
222,5.535733,222,0.0,0.0,False
223,5.552511,212,0.0,0.0,False
224,5.569289,200,0.0,0.0,False
225,5.585978,190,0.0,0.0,False
226,5.6023,178,0.0,0.0,False
227,5.619344,166,0.0,0.0,False
228,5.635744,156,0.0,0.0,False
229,5.652344,144,0.0,0.0,False
230,5.669356,134,0.0,0.0,False
231,5.685956,124,0.0,0.0,False
232,5.702689,112,0.0,0.0,False
233,5.719311,102,0.0,0.0,False
234,5.736067,92,0.0,0.0,False
235,5.752656,78,0.0,0.0,False
236,5.7694,66,0.0,0.0,False
237,5.786278,56,0.0,0.0,False
238,5.802633,44,0.0,0.0,False
239,5.819256,34,0.0,0.0,False
240,5.836011,22,0.0,0.0,False
241,5.852589,12,0.0,0.0,False
242,5.869422,0,0.0,0.0,False
243,5.885756,294,0.0,0.0,False
244,5.902633,284,0.0,0.0,False
245,5.919222,272,0.0,0.0,False
246,5.935833,262,0.0,0.0,False
247,5.952444,252,0.0,0.0,False
248,5.9694,240,0.0,0.0,False
249,5.985889,228,0.0,0.0,False
250,6.0027,218,0.0,0.0,False
251,6.019522,208,0.0,0.0,False
252,6.0358,196,0.0,0.0,False
253,6.052956,184,0.0,0.0,False
254,6.0696,172,0.0,0.0,False
255,6.086,162,0.0,0.0,False
256,6.102711,152,0.0,0.0,False
257,6.119489,142,0.0,0.0,False
258,6.136322,130,0.0,0.0,False
259,6.156711,118,0.0,0.0,False
260,6.169944,106,0.0,0.0,False
261,6.186389,94,0.0,0.0,False
262,6.203333,84,0.0,0.0,False
263,6.2195,72,0.0,0.0,False
264,6.236778,62,0.0,0.0,False
265,6.252711,50,0.0,0.0,False
266,6.269489,40,0.0,0.0,False
267,6.2861,30,0.0,0.0,False
268,6.303022,18,0.0,0.0,False
269,6.319811,6,0.0,0.0,False
270,6.336033,0,0.0,0.0,False
271,6.352756,290,0.0,0.0,False
272,6.3696,278,0.0,0.0,False
273,6.386089,268,0.0,0.0,False
274,6.402878,256,0.0,0.0,False
275,6.419678,246,0.0,0.0,False
276,6.4366,234,0.0,0.0,False
277,6.453622,224,0.0,0.0,False
278,6.470256,212,0.0,0.0,False
279,6.487067,202,0.0,0.0,False
280,6.503256,192,0.0,0.0,False
281,6.519756,180,0.0,0.0,False
282,6.536178,170,0.0,0.0,False
283,6.552844,156,0.0,0.0,False
284,6.5695,142,0.0,0.0,False
285,6.586456,142,0.0,0.0,False
286,6.602911,142,0.0,0.0,False
287,6.620589,142,0.0,0.0,False
288,6.720589,142,0.0,0.0,False
289,6.737867,142,0.0,0.0,False
