frame,seconds,card_rows,paper_pixels,card_area,paper_fraction,suspect
99,3.329067,1201,6264,1066488,0.00587348380853793,False
100,3.346033,102,10634,90576,0.1174041688747571,True
101,3.363767,1200,13256,1065600,0.01243993993993994,True
102,3.379167,1200,8718,1065600,0.008181306306306306,False
103,3.395644,1202,5687,1067376,0.005328019367120865,False
104,3.413822,114,30398,101232,0.30028054370159635,True
105,3.429256,1199,16057,1064712,0.015081073567312099,True
106,3.446111,1200,12053,1065600,0.011310998498498499,True
107,3.462667,1200,7292,1065600,0.006843093093093093,False
108,3.483022,105,30664,93240,0.3288717288717289,True
109,3.495867,1200,16905,1065600,0.015864301801801803,True
110,3.512456,1200,10513,1065600,0.009865803303303304,False
111,3.528878,1201,6697,1066488,0.006279489314460172,False
112,3.547356,87,29491,77256,0.3817308687998343,True
113,3.562589,1199,18214,1064712,0.01710697352899188,True
114,3.5796,1198,10635,1063824,0.009996954383431846,False
115,3.5959,1199,7822,1064712,0.00734658762181698,False
116,3.612878,103,10668,91464,0.11663605352925742,True
117,3.629178,1199,15325,1064712,0.014393563705490312,True
118,3.6465,1198,7056,1063824,0.006632676081757885,False
119,3.6627,1200,6911,1065600,0.006485548048048048,False
120,3.679278,116,27889,103008,0.2707459614787201,True
121,3.6957,1200,13355,1065600,0.012532845345345345,True
122,3.712089,1198,9660,1063824,0.009080449397644724,False
123,3.729256,1200,6700,1065600,0.006287537537537537,False
124,3.746156,105,29488,93240,0.31625911625911624,True
125,3.762378,1200,15612,1065600,0.0146509009009009,True
126,3.779144,1200,11881,1065600,0.011149587087087087,True
127,3.795744,1199,7001,1064712,0.006575487080074236,False
128,3.812278,96,26686,85248,0.3130396021021021,True
129,3.830122,1200,20287,1065600,0.0190381006006006,True
130,3.845144,1197,13020,1062936,0.012249091196459618,True
131,3.861822,1198,7370,1063824,0.00692783768743702,False
132,3.878667,87,14903,77256,0.19290411100755928,True
133,3.896589,1196,15979,1062048,0.015045459338937599,True
134,3.911822,1199,10725,1064712,0.01007314654103645,True
135,3.929911,1200,7752,1065600,0.007274774774774775,False
136,3.945856,107,15145,95016,0.15939420729140355,True
137,3.962411,1174,9865,1042512,0.009462720812805992,False
138,3.978967,1168,9260,1037184,0.008928020486239665,False
139,3.9954,1168,8682,1037184,0.008370742317660126,False
140,4.012311,74,35471,65712,0.5397948624299975,True
141,4.112311,70,31847,62160,0.5123391248391248,True
142,4.129578,72,33600,63936,0.5255255255255256,True
143,4.229578,72,33573,63936,0.5251032282282282,True
144,4.325522,1165,9737,1034520,0.009412094497931407,False
145,4.347833,1164,8499,1033632,0.008222462152874524,False
146,4.363178,1164,7793,1033632,0.007539433763660568,False
147,4.379189,42,34629,37296,0.928490990990991,True
148,4.3968,1141,11891,1013208,0.011735991030469559,True
149,4.412633,1132,7974,1005216,0.007932623436157004,False
150,4.428656,1118,6690,992784,0.0067386259246724365,False
151,4.446211,95,26497,84360,0.31409435751541015,True
152,4.462378,1097,18269,974136,0.01875405487529462,True
153,4.478778,1086,11771,964368,0.012205921391004263,True
154,4.496122,1086,10341,964368,0.010723084963416455,True
155,4.512256,74,22197,65712,0.33779218407596784,True
156,4.529711,1062,12917,943056,0.013696959671535943,True
157,4.548856,1051,9049,933288,0.00969582808307832,False
158,4.562478,1036,7828,919968,0.008508991617099726,False
159,4.579322,93,29405,82584,0.35606170686815847,True
160,4.596089,1039,14583,922632,0.015805868428582576,True
161,4.613567,1039,12417,922632,0.013458236870171423,True
162,4.628333,1071,11467,951048,0.012057225292519411,True
163,4.645056,140,15849,124320,0.12748552123552123,True
164,4.662489,1084,11004,962592,0.011431634586616137,True
165,4.678344,1096,7832,973248,0.008047280857499835,False
166,4.6955,1094,6449,971472,0.006638379695966533,False
167,4.713333,153,46969,135864,0.3457060001177648,True
168,4.729133,1093,14149,970584,0.014577821188068215,True
169,4.746822,1093,10154,970584,0.010461742620937497,True
170,4.762222,1093,6701,970584,0.006904090733001986,False
171,4.780311,99,28388,87912,0.3229138229138229,True
172,4.796356,1093,13272,970584,0.013674241487599218,True
173,4.813289,1095,8492,972360,0.008733390925171747,False
174,4.829011,1096,6576,973248,0.006756756756756757,False
175,4.846267,94,28383,83472,0.3400301897642323,True
176,4.863122,1094,20215,971472,0.020808628555429285,True
177,4.879711,1095,12362,972360,0.012713398329836686,True
178,4.896767,1095,7364,972360,0.007573326751408943,False
179,4.912278,89,15599,79032,0.1973757465330499,True
180,4.9288,1092,15691,969696,0.016181359931359933,True
181,4.946689,1099,10608,975912,0.010869832525883482,True
182,4.962222,1111,7616,986568,0.00771969088800772,False
183,4.9799,118,12731,104784,0.12149755687891281,True
184,4.995778,1134,13190,1006992,0.013098415876193654,True
185,5.012778,1145,10356,1016760,0.010185294464770447,True
186,5.028656,1156,8781,1026528,0.00855407743383522,False
187,5.045433,70,28414,62160,0.4571106821106821,True
188,5.065022,1177,10344,1045176,0.009896897747365038,False
189,5.078856,1188,9275,1054944,0.008791935875269209,False
190,5.0959,1200,7281,1065600,0.00683277027027027,False
191,5.112967,97,28320,86136,0.32878239063806075,True
192,5.1285,1221,17723,1084248,0.016345891345891345,True
193,5.146444,1234,12260,1095792,0.011188254705272533,True
194,5.161911,1245,7571,1105560,0.006848113173414379,False
195,5.178967,89,28285,79032,0.3578930053649155,True
196,5.196978,1264,12595,1122432,0.011221169745695063,True
197,5.212533,1273,8212,1130424,0.0072645308309094644,False
198,5.2287,1273,5862,1130424,0.005185664847880088,False
199,5.246122,76,19945,67488,0.2955340208629682,True
200,5.2621,1274,7271,1131312,0.0064270510699082125,False
201,5.279222,1273,5584,1130424,0.004939739425206825,False
202,5.297333,1273,5142,1130424,0.004548735695632789,False
203,5.312078,61,19198,54168,0.3544158913011372,True
204,5.328833,1272,17273,1129536,0.015292119950138818,True
205,5.345822,1271,11326,1128648,0.01003501534579426,True
206,5.363189,1271,9900,1128648,0.00877155676526251,False
207,5.379111,49,14206,43512,0.32648464791321935,True
208,5.396333,1270,15441,1127760,0.013691742924026388,True
209,5.4119,1273,8218,1130424,0.007269838573844859,False
210,5.428856,1272,4916,1129536,0.004352229588078645,False
211,5.445767,45,14143,39960,0.3539289289289289,True
212,5.463178,1273,8477,1130424,0.007498956143889373,False
213,5.479067,1273,7862,1130424,0.006954912493011472,False
214,5.496311,1273,3549,1130424,0.0031395299462856417,False
215,5.512333,43,0,38184,0.0,False
216,5.528911,1272,10644,1129536,0.009423338432772396,False
217,5.547233,1271,7198,1128648,0.006377541979430256,False
218,5.562889,1268,4635,1125984,0.004116399522550942,False
219,5.578878,61,17836,54168,0.3292718948456653,True
220,5.598578,1244,15305,1104672,0.013854791286463311,True
221,5.613811,1236,8054,1097568,0.007338041925420567,False
222,5.629656,1225,4544,1087800,0.004177238462952749,False
223,5.645322,49,14162,43512,0.32547343261628975,True
224,5.662833,1201,7900,1066488,0.0074074907547014126,False
225,5.679411,1178,4341,1046064,0.004149841692286514,False
226,5.6951,1178,4338,1046064,0.004146973798926261,False
227,5.711422,49,14846,43512,0.3411932340503769,True
228,5.728611,1153,14629,1023864,0.014288030441543018,True
229,5.745344,1146,9475,1017648,0.009310685030580319,False
230,5.763711,1133,4748,1006104,0.004719194039582389,False
231,5.7787,52,18499,46176,0.40061936936936937,True
232,5.797556,1110,13957,985680,0.014159767875984093,True
233,5.813167,1099,9185,975912,0.009411709252473584,False
234,5.828667,1086,4861,964368,0.0050406069052477895,False
235,5.844967,52,926,46176,0.020053707553707553,True
236,5.861833,1085,10669,963480,0.011073400589529622,True
237,5.878222,1088,6992,966144,0.0072370164281928984,False
238,5.896444,1088,6717,966144,0.006952379769475357,False
239,5.9128,105,28886,93240,0.3098026598026598,True
240,5.928411,1088,17349,966144,0.017956950516693163,True
241,5.945444,1089,11082,967032,0.01145980691435237,True
242,5.961633,1088,5408,966144,0.005597509273979862,False
243,5.979033,72,19301,63936,0.301880005005005,True
244,5.995489,1089,5475,967032,0.005661653388926116,False
245,6.011633,1091,4769,968808,0.004922543992204854,False
246,6.028056,1088,4824,966144,0.004993044515103339,False
247,6.044844,110,13092,97680,0.13402948402948403,True
248,6.061933,1081,6300,959928,0.006562992224416832,False
249,6.078133,1080,4223,959040,0.004403361695028362,False
250,6.095011,1080,4179,959040,0.004357482482482482,False
251,6.111511,94,18737,83472,0.22447048111941728,True
252,6.129022,1070,11437,950160,0.01203692009766776,True
253,6.144944,1077,9020,956376,0.00943143700803868,False
254,6.162078,1086,4057,964368,0.004206900270436182,False
255,6.178744,109,19246,96792,0.19883874700388462,True
256,6.195156,1086,13499,964368,0.013997768486718763,True
257,6.212489,1086,9309,964368,0.009652954059031407,False
258,6.228511,1085,4363,963480,0.004528376302569851,False
259,6.245267,81,15340,71928,0.2132688243799355,True
260,6.262122,1083,14415,961704,0.014989019490404532,True
261,6.278533,1085,11596,963480,0.012035537841989455,True
262,6.2949,1083,11692,961704,0.012157586949830717,True
263,6.311867,101,18897,89688,0.2106970832218357,True
264,6.3287,1067,13703,947496,0.014462330183979669,True
265,6.345911,1089,9102,967032,0.009412304866850322,False
266,6.363022,1087,8054,965256,0.008343900478215106,False
267,6.379222,85,4035,75480,0.053457869634340224,True
268,6.395644,1082,16659,960816,0.017338387370734877,True
269,6.412978,1075,11502,954600,0.012049025769956003,True
270,6.429922,1071,10203,951048,0.010728165139929845,True
271,6.445867,83,27848,73704,0.3778356669922935,True
272,6.462389,1078,11548,957264,0.012063547777833493,True
273,6.562389,1078,11468,957264,0.011979976265690551,True
274,6.579389,1088,11401,966144,0.011800518349231584,True
275,6.679389,1088,11367,966144,0.011765326907790143,True
276,6.773122,1081,9213,959928,0.009597594819611472,False
277,6.7955,1084,9118,962592,0.009472341345035072,False
278,6.812111,19,16643,16872,0.9864272166903746,True
279,6.8289,1081,12847,959928,0.013383295413822703,True
280,6.845222,1082,7217,960816,0.007511323708181379,False
281,6.862322,1070,6189,950160,0.006513639808032331,False
282,6.878856,77,13248,68376,0.19375219375219374,True
283,6.896011,1062,7327,943056,0.007769421964337219,False
284,6.912789,1065,6885,945720,0.007280167491435097,False
285,6.928989,1078,5762,957264,0.006019238162095305,False
286,6.945633,81,1377,71928,0.019144144144144143,True
287,6.962378,1100,10122,976800,0.010362407862407863,True
288,6.979222,1100,9461,976800,0.009685708435708436,False
289,6.9962,1104,8029,980352,0.008189915458937198,False
290,7.013567,65,26483,57720,0.4588184338184338,True
291,7.029533,1101,14077,977688,0.014398253839670734,True
292,7.0458,1102,10369,978576,0.01059600889455699,True
293,7.061733,1106,8698,982128,0.008856279425899678,False
294,7.079256,95,17438,84360,0.20670934091986723,True
295,7.095456,1103,16815,979464,0.01716755286564897,True
