frame,seconds,card_rows,paper_pixels,card_area,paper_fraction,suspect
0,0.0,753,314,668664,0.0004695930990751708,False
1,0.106844,753,313,668664,0.0004680975796513645,False
2,0.1202,753,310,668664,0.00046361102137994567,False
3,0.175511,1137,3823,1009656,0.0037864381531927706,False
4,0.241711,1137,2906,1009656,0.002878208023326757,False
5,0.259167,1137,2675,1009656,0.002649417227253639,False
6,0.277467,1137,2682,1009656,0.002656350281680097,False
7,0.291789,1137,2481,1009656,0.002457272576006085,False
8,0.358589,1137,2479,1009656,0.0024552917033128117,False
9,0.374778,1150,2494,1021200,0.0024422248335291812,False
10,0.392767,1150,2454,1021200,0.0024030552291421856,False
11,0.410244,1164,2445,1033632,0.002365445342249466,False
12,0.426044,1164,2366,1033632,0.002289015819943655,False
13,0.442889,1162,2325,1031856,0.0022532213797274037,False
14,0.461078,1162,2248,1031856,0.0021785985641407327,False
15,0.476756,1162,2268,1031856,0.0021979811136437644,False
16,0.492344,1167,1151,1036296,0.001110686521997576,False
17,0.509611,1167,1130,1036296,0.0010904220415788538,False
18,0.5279,1169,1133,1038072,0.0010914464507278878,False
19,0.542811,1169,1133,1038072,0.0010914464507278878,False
20,0.559611,1169,1094,1038072,0.0010538768023797963,False
21,0.5767,1171,1098,1039848,0.0010559235580584856,False
22,0.5936,1168,883,1037184,0.0008513436381587066,False
23,0.609922,1168,860,1037184,0.0008291682093051956,False
24,0.6258,1168,802,1037184,0.0007732475626311243,False
25,0.642611,1168,788,1037184,0.0007597494755029002,False
26,0.659722,1164,653,1033632,0.0006317528869075261,False
27,0.676789,1164,646,1033632,0.0006249806507538467,False
28,0.692678,1164,616,1033632,0.0005959567815237919,False
29,0.710544,1164,605,1033632,0.0005853146961394384,False
30,0.726144,1163,2560,1032744,0.002478833089323201,False
31,0.743622,1165,2590,1034520,0.002503576537911302,False
32,0.760211,1165,2625,1034520,0.0025374086532884816,False
33,0.776567,1165,2492,1034520,0.0024088466148551985,False
34,0.876567,1165,2437,1034520,0.0023556818621196306,False
35,0.893244,1165,2399,1034520,0.0023189498511386923,False
36,0.993322,1165,2360,1034520,0.002281251208289835,False
37,1.093322,1165,2341,1034520,0.002262885202799366,False
38,1.109411,1165,2353,1034520,0.002274484785214399,False
39,1.209411,1167,2322,1036296,0.0022406725491558397,False
40,1.309411,1165,2348,1034520,0.0022696516258748018,False
41,1.409411,1165,2275,1034520,0.0021990874995166843,False
42,1.509411,1165,2247,1034520,0.0021720218072149404,False
43,1.609411,1165,2279,1034520,0.0022029540269883617,False
44,1.709411,1167,2282,1036296,0.002202073538834464,False
45,1.809411,1167,2184,1036296,0.0021075059635470945,False
46,1.909411,1167,2178,1036296,0.0021017161119988885,False
47,2.009411,1168,2181,1037184,0.0021028091447611997,False
48,2.109411,1168,2152,1037184,0.0020748488214241637,False
49,2.9792,1172,1924,1040736,0.0018486916951080774,False
50,2.992056,1172,1838,1040736,0.0017660578667404606,False
51,3.008467,1187,1745,1054056,0.001655509764187102,False
52,3.025722,1187,1735,1054056,0.001646022602214683,False
53,3.040944,1197,1773,1062936,0.0016680214048635101,False
54,3.057856,1206,1728,1070928,0.0016135538523598225,False
55,3.074578,1220,1739,1083360,0.001605191256830601,False
56,3.0912,1227,1751,1089576,0.0016070471449444554,False
57,3.107622,1227,1823,1089576,0.001673127895621783,False
58,3.124611,1222,1679,1085136,0.0015472714940800048,False
59,3.141233,1208,1671,1072704,0.0015577456595668516,False
60,3.157978,1199,1642,1064712,0.0015422010834854872,False
61,3.240967,1188,1620,1054944,0.0015356265356265355,False
62,3.258667,1179,1602,1046952,0.001530156110308782,False
63,3.274978,1177,1630,1045176,0.0015595459520693165,False
64,3.291733,1176,1589,1044288,0.0015216108966108967,False
65,3.308411,1178,1610,1046064,0.0015391027700026002,False
66,3.325511,1180,1605,1047840,0.0015317224003664682,False
67,3.342178,1180,1596,1047840,0.0015231333027943196,False
68,3.358033,1180,1590,1047840,0.0015174072377462208,False
69,3.373867,1178,1599,1046064,0.0015285871610150048,False
70,3.390678,1180,1622,1047840,0.0015479462513360819,False
71,3.406778,1181,1625,1048728,0.0015494961515283277,False
72,3.424289,1181,1627,1048728,0.001551403223714824,False
73,3.440811,1180,1649,1047840,0.001573713544052527,False
74,3.457833,1176,1640,1044288,0.0015704479990194275,False
75,3.473956,1176,1642,1044288,0.0015723631795060366,False
76,3.490911,1168,1663,1037184,0.0016033799210169073,False
77,3.507711,1172,1688,1040736,0.0016219290963318267,False
78,3.524122,1166,1683,1035408,0.001625446200917899,False
79,3.540956,1153,1699,1023864,0.0016594000765726698,False
80,3.557378,1142,1681,1014096,0.00165763399125921,False
81,3.573878,1131,1693,1004328,0.0016857042719111684,False
82,3.590822,1121,1711,995448,0.0017188240872451398,False
83,3.6073,1099,1689,975912,0.0017306888325996606,False
84,3.6235,1099,1679,975912,0.0017204420070662109,False
85,3.6399,1088,1696,966144,0.001755431902490726,False
86,3.656667,1083,1685,961704,0.0017520983587465582,False
87,3.673289,1083,1688,961704,0.0017552178216998162,False
88,3.689933,1083,1672,961704,0.001738580685949107,False
89,3.708,1084,1694,962592,0.0017598317875070642,False
90,3.723289,1084,1695,962592,0.001760870649247033,False
91,3.740122,1088,1691,966144,0.0017502566905140435,False
92,3.757167,1098,1695,975024,0.0017384187466154678,False
93,3.773722,1109,1686,984792,0.0017120366534252919,False
94,3.790389,1120,1681,994560,0.001690194658944659,False
95,3.807178,1130,1674,1003440,0.0016682611815355178,False
96,3.823489,1140,1679,1012320,0.0016585664611980403,False
97,3.840267,1152,1694,1022976,0.0016559528278278278,False
98,3.8564,1162,1689,1031856,0.0016368563055310043,False
99,3.873556,1175,1727,1043400,0.0016551658041019744,False
100,3.890667,1186,1707,1053168,0.0016208240280752928,False
101,3.906411,1197,1710,1062936,0.0016087516087516086,False
102,3.923622,1203,1704,1068264,0.0015951113207971063,False
103,3.940133,1204,1736,1069152,0.0016237167399958097,False
104,3.957378,1204,1738,1069152,0.001625587381401335,False
105,3.9737,1204,1741,1069152,0.0016283933435096226,False
106,3.989967,1203,1733,1068264,0.0016222581683928317,False
107,4.007289,1203,1743,1068264,0.0016316191503223923,False
108,4.023611,1203,1756,1068264,0.0016437884268308209,False
109,4.040111,1203,1648,1068264,0.0015426898219915676,False
110,4.057644,1203,1566,1068264,0.0014659297701691716,False
111,4.073767,1203,1570,1068264,0.0014696741629409958,False
112,4.090144,1203,1560,1068264,0.0014603131810114354,False
113,4.106644,1203,1515,1068264,0.0014181887623284132,False
114,4.123733,1203,1402,1068264,0.0013124096665243798,False
115,4.141089,1203,1305,1068264,0.001221608141807643,False
116,4.156433,1202,1310,1067376,0.0012273088396216516,False
117,4.174044,1202,1331,1067376,0.0012469832561346705,False
118,4.190811,1203,1321,1068264,0.0012365857128949398,False
119,4.2066,1203,1359,1068264,0.0012721574442272697,False
120,4.224178,1203,1368,1068264,0.001280582327963874,False
121,4.239911,1203,1358,1068264,0.0012712213460343135,False
122,4.256222,1203,1362,1068264,0.0012749657388061379,False
123,4.272911,1203,1384,1068264,0.001295559899051171,False
124,4.289267,1203,1427,1068264,0.001335812121348281,False
125,4.306522,1203,1426,1068264,0.001334876023155325,False
126,4.322533,1201,1454,1066488,0.0013633533616880828,False
127,4.339678,1201,1431,1066488,0.0013417872493642685,False
128,4.356767,1201,1378,1066488,0.0012920914253137402,False
129,4.373144,1201,1276,1066488,0.0011964504054429116,False
130,4.390244,1200,1216,1065600,0.0011411411411411411,False
131,4.407256,1199,1202,1064712,0.0011289437894942483,False
132,4.422944,1200,1200,1065600,0.0011261261261261261,False
133,4.440411,1201,1197,1066488,0.0011223754978958976,False
134,4.457633,1201,1122,1066488,0.001052051218579112,False
135,4.473689,1202,1067,1067376,0.0009996477342567192,False
136,4.489678,1203,1068,1068264,0.0009997528700770597,False
137,4.506989,1200,1080,1065600,0.0010135135135135136,False
138,4.523867,1200,1086,1065600,0.0010191441441441441,False
139,4.541311,1201,1073,1066488,0.001006106022758812,False
140,4.5567,1201,1072,1066488,0.001005168365701255,False
